TEMPERATURE , SOC        
        -76 , 39         
        -95 , 62         
        -42 , 47         
        -49 , 45         
        -72 , 23         
        -19 , 98         
         68 , 79         
        -97 , 35         
        -27 , 34         
          0 , 89         
        -66 , 100        
        -13 , 77         
         84 , 15         
         -4 , 67         
         73 , 59         
         65 , 48         
         74 , 12         
         78 , 77         
         24 , 21         
         10 , 98         
         79 , 54         
          4 , 96         
         88 , 92         
        -15 , 41         
         61 , 35         
        -15 , 79         
         63 , 4          
        -91 , 53         
         89 , 52         
         81 , 77         
        -75 , 62         
         70 , 64         
        -23 , 54         
        -43 , 32         
         15 , 60         
         47 , 94         
        -49 , 85         
         15 , 46         
TEMPERATURE , SOC        
        -99 , 8          
        -46 , 50         
         98 , 23         
         86 , 79         
         39 , 9          
       -100 , 100        
        -27 , 57         
        -40 , 38         
       -100 , 10         
          8 , 94         
        -53 , 40         
        -56 , 80         
         42 , 84         
         75 , 69         
        -40 , 6          
         14 , 72         
        -96 , 20         
         67 , 50         
         44 , 27         
        -35 , 81         
        -54 , 11         
         -5 , 40         
        -79 , 10         
         41 , 31         
         -7 , 7          
         80 , 60         
         78 , 54         
        -53 , 46         
        -41 , 62         
         18 , 37         
         10 , 2          
         26 , 54         
         69 , 36         
         10 , 87         
        -47 , 82         
        -27 , 77         
        -14 , 50         
        -98 , 38         
         87 , 32         
         21 , 34         
        -34 , 88         
         20 , 82         
         36 , 65         
         27 , 25         
         63 , 15         
         78 , 83         
        -16 , 95         
        -12 , 52         
         20 , 43         
        -48 , 48         
Given Sensor not supported
